original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,Class
0.828016768,0.599468473,43.81877273,73.09604207,68.68963486,61.87679815,74.72456832,75.32945815,669.2105849,60.52474849,0.037000954,9999.533313,14.94228205,2512.609368,534.9601217,8615.965324,71517107514,7.687377173,2822.982095,7.335488227,18600.30481,2849.358924,3268.380142,1573.811595,180.1841772,18420.12063,1340.69703,5425.026124,2.286300877,73948376257,0.008271774,18748599.69,78179.11618,56035943130,40866653.08,155588.7651,31130.01304,0.572705889,98.28519856,5.587807636,18488.90978,0.117747165,0.07222117,0.9561767,0.904224092,-0.871110898,0.999996844,0.071462855,209.6309948,0.005452134,7.944497394,1,0.010487271,419.2619897,6.64630743,46679.69454,8.245411882,1715.899588,0.706131518,0.241070298,20.10041152,30000.23112,45433.94774,1.702880658,63696.67449,0.00414708,0.002682805,0.866346594,41576.058,0.002381261,19.83764242,0.008227575,30096.92596,45596.53956,1.035719726,46384.90933,0.002757368,0.002687655,7.719609642,2385.746989,0.98921142,0.991959481,0.017976977,0.995549171,45450.58129,0.002676968,16.70772059,0.00767818,31260.62021,47575.39936,1.488051471,59260.983,0.003711436,0.002745047,1869.965993,0.859359372,0.940054569,45669.66694,0.002599171,8.090624009,0.895473251,0.240970176,0.003955418,0.00646014,2425970.311,6.319656753,2090.866677,0
0.90491412,0.647542332,44.4051068,68.57483228,66.65117333,61.875,74.36449506,74.86511308,1015.576172,62.05433398,0.090636183,5390.853358,5.308172354,2889.84375,35.96309667,220.3789302,18139627.89,3.177556778,81.97615892,5.771221684,536.6902566,57.01844698,104.2493553,79.57687093,17.99501622,518.6952404,35.93052692,128.6497391,1.610231746,47829096.97,0.147437264,5682.827301,60.1774515,5153.940593,111.512656,51.60937375,6.586791658,0.767126059,1.757498121,2.362753168,3.190685219,0.522895572,0.469427042,0.987235197,0.931187957,-0.398699151,0.968627114,0.411804234,6.973951899,0.029212736,5.708839521,0.871156102,0.080449214,13.9479038,4.252777273,14.54904135,4.869281528,380.8850365,0.347522844,1.192191912,161.5912409,9.258490563,31.14142336,4.629562044,183.8257299,0.435245675,0.117970565,0.580656919,16.75944224,0.075848627,156.7884297,0.147943653,9.177026626,30.87476494,1.130412597,35.68482698,0.131598608,0.118839312,3.34349947,1006.141298,0.947616099,0.967153285,0.057096937,0.978699505,30.02173137,0.116943056,105.4,0.147412587,8.501215707,28.95944056,4.528671329,169.7748252,0.437119254,0.127367822,416.3426573,0.582297423,0.791071109,22.62701124,0.105583668,4.347424786,0.652372263,2.178989682,1.295187046,0.010498621,141.1849444,0.048265076,2.971627232,0
0.874960708,0.616327657,43.5599679,70.67663992,68.09180593,61.69410002,75.0268412,75.27560778,917.723236,61.83928293,0.04720366,9674.969465,10.5423608,2997.884319,28.09199053,171.2753682,35922302.82,2.639483952,44.26652827,5.937358697,307.0196539,44.60229093,77.44124779,55.77456781,14.24887579,292.7707781,22.47524157,99.97537652,1.926311818,29964081.34,0.230791039,3997.92905,49.1947185,4344.318564,119.0213678,51.56556303,2.928710349,0.895624589,0.977312181,1.830652588,1.844054636,0.685471747,0.660288735,0.984724296,0.937928204,-0.438367861,0.965523076,0.37804236,6.041505386,0.058144518,5.007461256,0.9430818,0.143734633,12.08301077,4.034218966,13.62356834,4.906523279,825.4936004,0.229686589,4.822986992,829.4629939,6.459607988,19.36477462,12.60823595,689.6903172,1.345113002,0.192469748,0.383105409,4.623818243,0.09268867,796.7037761,0.238711794,5.725928268,17.77501121,1.551185735,34.36405308,0.269782782,0.197675779,2.862869483,3080.609926,0.915236908,0.931145927,0.362943689,0.963933228,16.25045998,0.192951935,402.6565133,0.260956911,3.479949379,12.58133506,26.79325988,1229.342191,2.950731926,0.238405522,696.95593,0.451688872,0.698942501,7.656878693,0.181347071,4.213412351,0.429326656,21.3679532,5.815165083,0.004070654,35.25299011,0.035870669,0.535656949,0
0.952162058,0.646268591,43.13246241,66.74076844,66.47579493,60.251556,74.78109329,74.78109329,826.5625,63.54802743,0.089985357,4733.285975,5.726470745,2615.29541,260.5085724,1559.349005,518752235.5,5.640223859,539.1354784,5.216818469,2687.045992,453.1027722,761.82097,537.7816332,96.50094736,2590.545045,249.0660492,980.1287099,1.733909943,2512389519,0.025843621,380281.0975,2267.942163,16259005.95,76705.70079,2935.590846,554.3373533,0.669951328,15.65446819,3.75005413,262.1796384,0.212037874,0.143856084,0.957566545,0.886616375,-0.828515519,0.999817694,0.159304633,40.30637792,0.021907288,5.875222796,1,0.037534607,80.61275585,4.677108293,872.4820499,6.224562459,361.1111111,0.66872428,0.209876543,13.95555556,608.6065295,1390.948148,1.703703704,2910.781481,0.024466754,0.010096059,0.844650206,1080.613272,0.006621834,13.86792368,0.025904844,606.0805012,1384.842003,1.028476808,1441.63406,0.010573594,0.01000052,5.670410317,527.3187717,0.984493354,0.991452991,0.010331998,0.993883,1371.406809,0.009866788,12.78378378,0.026577513,579.8079624,1319.399168,1.401247401,2111.534304,0.016870451,0.008685673,388.3846154,0.807452423,0.918168168,1157.833391,0.006771944,6.013433324,0.890740741,0.140879405,0.025410233,0.022570576,14924.04384,0.92639226,117.9243049,0
0.848940512,0.552627186,39.31979342,71.15066803,65.5859375,61.47956471,75.25453228,75.25453228,913.1336212,60.40268455,0.082273794,5532.381967,6.058677326,2964.001465,104.5931623,730.7659561,105326163.8,4.423875296,175.3880801,5.621474304,1186.672037,198.9028979,307.4472328,204.1814376,32.50612062,1154.165916,96.69202114,414.8512684,1.904855739,510109320,0.065621129,77577.77389,493.3022556,728537.7735,3261.253904,581.3647162,330.2751149,0.252581619,12.40161487,3.280966292,121.427257,0.312055532,0.263011467,0.894743805,0.82778969,-0.738419018,0.99890049,0.212763677,20.58354378,0.026044671,5.486203863,0.999156792,0.050977182,41.16708756,4.276597189,227.9099578,5.635450132,256.1633987,0.418567645,0.684629843,40.16013072,124.4905699,264.2091503,3.290849673,1640.310458,0.083234863,0.035873183,0.642982934,136.9344395,0.026679918,39.35721895,0.065885379,121.5251382,258.7670722,1.098694592,302.54808,0.038378507,0.036208088,4.511173836,577.6423999,0.964630845,0.976370035,0.044571025,0.985264784,251.4191429,0.03585407,29.22374429,0.066720877,100.8251496,221.0228311,2.776255708,1023.995434,0.080281646,0.040268653,267.9086758,0.611663643,0.810005035,164.8161241,0.034957681,5.327464819,0.715686275,0.823919435,0.145181878,0.015263463,2278.422697,0.335761432,25.48439605,0
0.845286081,0.561558648,40.37159274,71.89203274,69.8392096,62.70196969,74.21360231,75.17751504,845.7332611,60.76933463,0.04188408,10325.80888,12.20929737,2756.957245,38.7665054,255.2913823,50757013.27,3.216165375,86.46974586,5.586084851,549.536381,70.96064922,114.3324343,76.04909099,20.52026262,529.0161184,40.17179557,149.3023055,1.787278104,61455825.85,0.15535026,9219.272886,75.16287966,14948.39851,412.6336682,88.91144491,13.34143326,0.729167245,2.208301231,2.58717445,7.581550161,0.543665126,0.494644346,0.976123938,0.919864216,-0.45466237,0.980231863,0.335855752,7.477480396,0.03513866,5.629224443,0.882139432,0.104822746,14.95496079,4.318063188,25.56321954,5.009629034,679.1387791,0.298260333,1.487596362,353.7325428,14.85337922,40.48089592,5.848484848,445.7290294,0.573581749,0.109261121,0.484434052,16.01490203,0.05106679,340.1214509,0.155949979,14.22844076,39.32048466,1.252954553,53.34994238,0.141074398,0.109418768,3.382728973,2072.682517,0.946352844,0.958143306,0.149388044,0.977404641,37.79609013,0.107300783,186.6357827,0.149070114,10.49613908,34.00159744,7.896964856,581.5567093,0.856097992,0.103278229,620.9840256,0.495993631,0.732104022,23.53433998,0.075366116,4.702685112,0.549846289,4.589331191,1.525537427,0.006142088,180.1475402,0.045438387,2.640078253,0
0.811452704,0.548156217,40.58457937,74.03834553,68.99617856,63.25945914,74.57572458,75.61213219,1128.199291,60.07861566,0.04931473,10627.50579,9.419883414,2829.60434,11.62697133,90.76984266,8869013.741,1.962508445,26.61530722,13.3793506,294.7152602,29.32446713,39.95931525,22.80572372,5.164783132,289.5504771,12.73592551,61.60391425,3.066330211,10738468.02,0.37771362,2198.295376,12.60219443,2006.67344,128.5664639,21.023451,6.924972753,0.448755218,1.563673783,2.198665881,3.810707399,0.630358269,0.585846603,0.961606119,0.902600277,-0.33736843,0.870174803,0.258756007,2.99317781,0.120794476,4.318374702,0.68148505,0.299383317,5.986355619,3.330595875,6.987105937,4.015820408,609.7899016,0.260928499,1.947853447,882.7167309,3.722855831,7.939666239,8.233204964,111.2481814,4.837397656,0.630810315,0.352976318,2.070421561,0.215592207,835.5647706,0.380046404,3.55032697,7.667810745,1.476031844,12.18155248,0.951712292,0.632024709,2.183784224,2056.320971,0.926958031,0.942036141,0.318627202,0.968403552,7.316463379,0.612132486,349.3601695,0.370084925,2.222142299,5.878177966,22.77648305,221.878178,15.39198674,0.60970558,350.6737288,0.371476408,0.632235565,3.405249032,0.375452037,3.907959885,0.403936671,16.64771146,7.847897883,0.005595181,27.95790646,0.018076919,1.134745731,0
0.957294665,0.652954926,45.33277842,69.42711762,68.26419266,62.96824597,73.24616031,74.60562981,1194.041667,66.46220927,0.08759936,6213.40283,5.203673376,2696,12.61589454,66.79763599,4712902.33,1.675797796,23.00100833,5.562777816,122.9447926,18.43677765,33.27106905,23.61608368,6.363357686,116.5814349,10.71434862,41.81039551,1.773596759,4712902.33,0.384492852,641.1451371,8.241330243,159.2937322,18.3248083,9.11320149,0.296708733,0.93528676,0.234090702,0.851036429,0.240880593,0.892708129,0.889216452,0.989178469,0.962427013,-0.588661036,0.950824529,0.185749145,2.454378766,0.216092207,2.84264377,0.947137379,0.377302132,4.908757531,2.576985495,2.352477556,4.664631293,354.522997,0.131499628,11.93871127,1036.59273,1.215043278,4.390207715,33.93397626,430.5155786,13.18147853,0.62037875,0.150484625,0.437869161,0.103875324,938.0744557,0.405594113,0.946725889,3.799595887,1.736669289,9.56922854,1.032893147,0.637245914,2.15657074,1891.627442,0.817393682,0.858080347,0.375999967,0.91988961,3.18194886,0.596571486,182.6997455,0.464884849,0.615827878,2.938931298,375.2671756,2042.279898,219.2368815,0.694648007,106.6590331,0.271397031,0.53535015,1.40691183,0.389370059,4.095044394,0.145771513,328.2068774,22.6708951,0.008472427,1.65248498,0.020250696,0.104573121,0
0.774506414,0.539662738,37.39363421,69.29074696,68.44705983,53.71219601,70.43436661,70.46275612,666.4583333,53.66612795,0.077497704,4761.136391,7.143937067,2030,14.61680428,75.00388686,3885091.768,1.622810412,22.9866461,5.727197021,144.140504,20.67627202,34.24115682,21.84180973,1.718689198,142.4218148,11.89070721,43.74743775,1.819622707,3885091.768,0.4595666,741.3814888,8.712841728,210.4975621,21.26584537,9.43320954,0.395579628,0.917130445,0.317326679,1.006076254,0.291705071,0.854073966,0.849161956,0.98964897,0.956050475,-0.539229174,0.946583947,0.251734511,2.502672607,0.237868758,3.11780594,0.946739198,0.439529106,5.005345214,2.700919797,2.457197292,4.587393096,268.4551724,0.132243927,5.991497974,932.920197,1.423188139,4.38226601,28.47684729,219.4187192,16.71865887,0.703198002,0.116726332,0.448986977,0.076256635,817.7846293,0.469440061,1.297299491,4.121902593,1.712164957,8.023088365,1.196626596,0.710160254,2.192433883,1382.802566,0.792813249,0.856081849,0.336685555,0.908461176,3.546203334,0.651284276,68.37254902,0.335159554,1.164840446,4.745098039,1394.333333,2922.372549,1262.099536,0.562901688,45.97058824,0.225346021,0.485466767,2.23550337,0.260724296,4.64837033,0.100492611,1295.311323,9.649566095,0.015328778,2.407415598,0.016164647,0.260488452,0
0.788828754,0.552866093,41.98118322,75.93372743,68.46897107,62.39390996,74.62573283,74.89325737,1957.75,59.89870757,0.083011685,9116.953028,4.656852523,3954,8.851565381,33.87118256,2691789.752,0.83341283,7.956848472,9.613715279,96.41535162,9.692828946,20.40220447,16.59129006,1.765121669,94.65022995,3.719543225,26.09169152,2.61863492,2691789.752,0.730088353,264.5264191,3.777272094,56.16422716,10.81123746,4.25554767,0.131556043,0.941861738,0.121493846,0.522974448,0.113591192,0.940841625,0.940259297,0.992461463,0.976026525,-0.668568419,0.897433741,0.113525117,1.64006611,0.50011013,1.739811947,0.967275289,0.682822741,3.280132219,1.601234532,1.096775928,3.962521256,459.3692463,0.116178363,8.235657456,2886.769347,0.461947001,2.036165908,38.3383915,156.2602428,28.87534248,0.875412733,0.096877738,0.175943689,0.08221505,2436.316965,0.742583811,0.376284615,1.873296428,2.222187564,4.743846779,1.959569715,0.883082516,1.483202212,2586.234773,0.781830388,0.827438621,0.701057486,0.901098577,1.5788894,0.802349517,176.5973154,0.592608441,0.351391829,2.090604027,9012.651007,9903.607383,8925.948569,0.79667692,82.41610738,0.276564119,0.543026601,1.081265753,0.436595443,3.714116518,0.075366717,8836.599072,15.86155445,0.014200866,0.342851153,0.004595616,0.110595423,0
